schemaname,tablename,policyname,cmd,qual,with_check
public,manuals,manuals_member,ALL,"(EXISTS ( SELECT 1
   FROM organization_members om
  WHERE ((om.organization_id = manuals.organization_id) AND (om.user_id = auth.uid()) AND om.active AND ((om.role = ANY (ARRAY['owner'::text, 'manager'::text])) OR COALESCE(((om.permissions ->> 'manuals.view'::text))::boolean, true)))))","(EXISTS ( SELECT 1
   FROM organization_members om
  WHERE ((om.organization_id = manuals.organization_id) AND (om.user_id = auth.uid()) AND om.active AND ((om.role = ANY (ARRAY['owner'::text, 'manager'::text])) OR COALESCE(((om.permissions ->> 'manuals.view'::text))::boolean, true)))))"
public,material_requests,mat_req access,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,measurement_points,condition points member access,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,notifications,notifications_member,ALL,is_org_member(organization_id),is_org_member(organization_id)
public,organization_entitlements,owner reads entitlements,SELECT,((org_role(organization_id) = 'owner'::text) OR is_platform_admin()),null
public,organization_members,members read,SELECT,is_org_member(organization_id),null
public,organization_members,owner manages members,UPDATE,(org_role(organization_id) = 'owner'::text),(org_role(organization_id) = 'owner'::text)
public,organization_settings,settings_read,SELECT,is_org_member(organization_id),null
public,organization_settings,settings_write,ALL,"(is_org_member(organization_id) AND (org_role(organization_id) = ANY (ARRAY['owner'::text, 'manager'::text])))","(is_org_member(organization_id) AND (org_role(organization_id) = ANY (ARRAY['owner'::text, 'manager'::text])))"
public,organization_subscriptions,owner reads subscription,SELECT,((org_role(organization_id) = 'owner'::text) OR is_platform_admin()),null
public,organization_subscriptions,super admin read access organization_subscriptions,SELECT,is_super_platform_admin(),null
public,organizations,org members read,SELECT,is_org_member(id),null
public,permits,permits access,ALL,"(EXISTS ( SELECT 1
   FROM plants p
  WHERE ((p.id = permits.plant_id) AND is_org_member(p.organization_id))))",null
public,plantmaster_sync,plantmaster insert,INSERT,null,true
public,plantmaster_sync,plantmaster read,SELECT,true,null
public,plantmaster_sync,plantmaster update,UPDATE,true,true
public,plants,plants read,SELECT,is_org_member(organization_id),null
