kind,on_table,name,definition
CONSTRAINT,condition_recordings,condition_recordings_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,condition_recordings,condition_recordings_measurement_point_id_fkey,FOREIGN KEY (measurement_point_id) REFERENCES measurement_points(id) ON DELETE SET NULL
CONSTRAINT,condition_recordings,condition_recordings_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,condition_recordings,condition_recordings_pkey,PRIMARY KEY (id)
CONSTRAINT,condition_recordings,condition_recordings_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,condition_recordings,condition_recordings_recording_type_check,"CHECK ((recording_type = ANY (ARRAY['voice_note'::text, 'machine_sound'::text, 'phone_vibration'::text, 'external_vibration'::text])))"
CONSTRAINT,condition_recordings,condition_recordings_removed_by_fkey,FOREIGN KEY (removed_by) REFERENCES auth.users(id)
CONSTRAINT,condition_recordings,condition_recordings_status_check,"CHECK ((status = ANY (ARRAY['draft'::text, 'recording'::text, 'processing'::text, 'completed'::text, 'submitted'::text, 'approved'::text, 'failed'::text])))"
CONSTRAINT,daily_logs,daily_logs_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,daily_logs,daily_logs_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,daily_logs,daily_logs_pkey,PRIMARY KEY (id)
CONSTRAINT,daily_logs,daily_logs_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,data_retention_policies,data_retention_policies_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,data_retention_policies,data_retention_policies_pkey,PRIMARY KEY (organization_id)
CONSTRAINT,data_retention_policies,data_retention_policies_updated_by_fkey,FOREIGN KEY (updated_by) REFERENCES auth.users(id)
CONSTRAINT,deletion_requests,deletion_requests_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,deletion_requests,deletion_requests_pkey,PRIMARY KEY (id)
CONSTRAINT,deletion_requests,deletion_requests_request_type_check,"CHECK ((request_type = ANY (ARRAY['user'::text, 'organization'::text, 'export_and_delete'::text])))"
