schema_line
TABLE: condition_recordings.comparison | jsonb | nullable=NO | default='{}'::jsonb
TABLE: condition_recordings.is_baseline | boolean | nullable=NO | default=false
TABLE: condition_recordings.status | text | nullable=NO | default='completed'::text
TABLE: condition_recordings.condition_status | text | nullable=NO | default='unverified'::text
TABLE: condition_recordings.notes | text | nullable=YES | default=none
TABLE: condition_recordings.created_by | uuid | nullable=NO | default=none
TABLE: condition_recordings.worker_name | text | nullable=NO | default=none
TABLE: condition_recordings.designation | text | nullable=YES | default=none
TABLE: condition_recordings.shift_name | text | nullable=YES | default=none
TABLE: condition_recordings.approved_by | uuid | nullable=YES | default=none
TABLE: condition_recordings.approved_at | timestamp with time zone | nullable=YES | default=none
TABLE: condition_recordings.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: condition_recordings.removed_by | uuid | nullable=YES | default=none
TABLE: condition_recordings.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: condition_recordings.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: daily_logs.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: daily_logs.organization_id | uuid | nullable=NO | default=none
TABLE: daily_logs.plant_id | uuid | nullable=NO | default=none
TABLE: daily_logs.log_date | date | nullable=NO | default=CURRENT_DATE
TABLE: daily_logs.shift_name | text | nullable=NO | default=none
TABLE: daily_logs.category | text | nullable=NO | default='operations'::text
TABLE: daily_logs.entry | text | nullable=NO | default=none
TABLE: daily_logs.created_by | uuid | nullable=NO | default=none
TABLE: daily_logs.worker_name | text | nullable=NO | default=none
TABLE: daily_logs.designation | text | nullable=YES | default=none
TABLE: daily_logs.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: data_retention_policies.organization_id | uuid | nullable=NO | default=none
TABLE: data_retention_policies.operational_days | integer | nullable=NO | default=1095
TABLE: data_retention_policies.audit_days | integer | nullable=NO | default=2190
TABLE: data_retention_policies.ai_prompt_days | integer | nullable=NO | default=0
TABLE: data_retention_policies.soft_delete_grace_days | integer | nullable=NO | default=30
TABLE: data_retention_policies.legal_hold | boolean | nullable=NO | default=false
TABLE: data_retention_policies.updated_at | timestamp with time zone | nullable=NO | default=now()
TABLE: data_retention_policies.updated_by | uuid | nullable=YES | default=none
TABLE: deletion_requests.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: deletion_requests.organization_id | uuid | nullable=NO | default=none
TABLE: deletion_requests.requested_by | uuid | nullable=NO | default=none
TABLE: deletion_requests.request_type | text | nullable=NO | default=none
TABLE: deletion_requests.target_user_id | uuid | nullable=YES | default=none
TABLE: deletion_requests.status | text | nullable=NO | default='requested'::text
TABLE: deletion_requests.reason | text | nullable=YES | default=none
TABLE: deletion_requests.scheduled_for | timestamp with time zone | nullable=YES | default=none
TABLE: deletion_requests.completed_at | timestamp with time zone | nullable=YES | default=none
TABLE: deletion_requests.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: document_chunks.id | bigint | nullable=NO | default=none
TABLE: document_chunks.manual_id | uuid | nullable=NO | default=none
TABLE: document_chunks.page_number | integer | nullable=YES | default=none
TABLE: document_chunks.content | text | nullable=NO | default=none
TABLE: document_chunks.embedding | USER-DEFINED | nullable=YES | default=none
TABLE: document_chunks.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: file_metadata.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: file_metadata.organization_id | uuid | nullable=NO | default=none
TABLE: file_metadata.plant_id | uuid | nullable=YES | default=none
TABLE: file_metadata.asset_id | uuid | nullable=YES | default=none
TABLE: file_metadata.bucket | text | nullable=NO | default='plant-files'::text
TABLE: file_metadata.object_path | text | nullable=NO | default=none
TABLE: file_metadata.file_name | text | nullable=NO | default=none
TABLE: file_metadata.mime_type | text | nullable=YES | default=none
TABLE: file_metadata.size_bytes | bigint | nullable=YES | default=none
TABLE: file_metadata.category | text | nullable=YES | default=none
TABLE: file_metadata.uploaded_by | uuid | nullable=NO | default=none
TABLE: file_metadata.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: file_metadata.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: file_metadata.removed_by | uuid | nullable=YES | default=none
TABLE: inventory_transactions.id | uuid | nullable=NO | default=none
TABLE: inventory_transactions.spare_id | uuid | nullable=NO | default=none
TABLE: inventory_transactions.quantity | numeric | nullable=NO | default=none
TABLE: inventory_transactions.transaction_type | text | nullable=NO | default=none
TABLE: inventory_transactions.reference | text | nullable=YES | default=none
TABLE: inventory_transactions.performed_by | uuid | nullable=YES | default=none
TABLE: inventory_transactions.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: invitations.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: invitations.organization_id | uuid | nullable=NO | default=none
TABLE: invitations.plant_id | uuid | nullable=YES | default=none
TABLE: invitations.email | text | nullable=YES | default=none
TABLE: invitations.role | text | nullable=NO | default=none
TABLE: invitations.token | uuid | nullable=NO | default=gen_random_uuid()
TABLE: invitations.expires_at | timestamp with time zone | nullable=NO | default=(now() + '7 days'::interval)
TABLE: invitations.accepted_at | timestamp with time zone | nullable=YES | default=none
TABLE: invitations.created_by | uuid | nullable=YES | default=none
TABLE: invitations.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: invitations.worker_details | jsonb | nullable=NO | default='{}'::jsonb
TABLE: legal_acceptances.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: legal_acceptances.document_id | uuid | nullable=NO | default=none
TABLE: legal_acceptances.organization_id | uuid | nullable=YES | default=none
TABLE: legal_acceptances.user_id | uuid | nullable=NO | default=none
TABLE: legal_acceptances.accepted_at | timestamp with time zone | nullable=NO | default=now()
TABLE: legal_acceptances.locale | text | nullable=YES | default=none
TABLE: legal_acceptances.user_agent_hash | text | nullable=YES | default=none
TABLE: legal_documents.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: legal_documents.document_type | text | nullable=NO | default=none
TABLE: legal_documents.version | text | nullable=NO | default=none
TABLE: legal_documents.title | text | nullable=NO | default=none
TABLE: legal_documents.content | text | nullable=NO | default=none
TABLE: legal_documents.effective_at | timestamp with time zone | nullable=NO | default=none
TABLE: legal_documents.active | boolean | nullable=NO | default=true
TABLE: legal_documents.created_at | timestamp with time zone | nullable=NO | default=now()
TABLE: legal_documents.required | boolean | nullable=NO | default=false
TABLE: legal_documents.acceptance_scope | text | nullable=NO | default='all_users'::text
TABLE: legal_documents.published_by | uuid | nullable=YES | default=none
TABLE: legal_documents.published_at | timestamp with time zone | nullable=YES | default=none
TABLE: loto_procedures.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: loto_procedures.plant_id | uuid | nullable=NO | default=none
TABLE: loto_procedures.asset_id | uuid | nullable=NO | default=none
TABLE: loto_procedures.work_order_id | uuid | nullable=YES | default=none
TABLE: loto_procedures.applied_by | uuid | nullable=NO | default=none
TABLE: loto_procedures.applied_at | timestamp with time zone | nullable=NO | default=now()
TABLE: loto_procedures.removed_by | uuid | nullable=YES | default=none
TABLE: loto_procedures.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: loto_procedures.notes | text | nullable=YES | default=none
TABLE: maintenance_completions.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: maintenance_completions.organization_id | uuid | nullable=NO | default=none
TABLE: maintenance_completions.plant_id | uuid | nullable=NO | default=none
TABLE: maintenance_completions.plan_id | uuid | nullable=NO | default=none
TABLE: maintenance_completions.work_done | text | nullable=NO | default=none
TABLE: maintenance_completions.worker_id | uuid | nullable=NO | default=none
TABLE: maintenance_completions.worker_name | text | nullable=NO | default=none
TABLE: maintenance_completions.designation | text | nullable=YES | default=none
TABLE: maintenance_completions.shift_name | text | nullable=NO | default=none
TABLE: maintenance_completions.tools_used | text | nullable=YES | default=none
TABLE: maintenance_completions.parts_used | text | nullable=YES | default=none
TABLE: maintenance_completions.measurements | jsonb | nullable=NO | default='{}'::jsonb
TABLE: maintenance_completions.root_cause | text | nullable=YES | default=none
TABLE: maintenance_completions.corrective_action | text | nullable=YES | default=none
TABLE: maintenance_completions.downtime_minutes | integer | nullable=YES | default=none
TABLE: maintenance_completions.signature_data | text | nullable=YES | default=none
TABLE: maintenance_completions.completed_at | timestamp with time zone | nullable=NO | default=now()
TABLE: maintenance_completions.supervisor_approved_by | uuid | nullable=YES | default=none
TABLE: maintenance_completions.supervisor_approved_at | timestamp with time zone | nullable=YES | default=none
TABLE: maintenance_plans.id | uuid | nullable=NO | default=none
TABLE: maintenance_plans.organization_id | uuid | nullable=NO | default=none
TABLE: maintenance_plans.plant_id | uuid | nullable=NO | default=none
TABLE: maintenance_plans.asset_id | uuid | nullable=YES | default=none
TABLE: maintenance_plans.title | text | nullable=NO | default=none
TABLE: maintenance_plans.frequency | text | nullable=NO | default=none
TABLE: maintenance_plans.priority | text | nullable=YES | default='medium'::text
TABLE: maintenance_plans.description | text | nullable=NO | default=none
TABLE: maintenance_plans.assigned_to | uuid | nullable=YES | default=none
TABLE: maintenance_plans.next_due | date | nullable=YES | default=none
TABLE: maintenance_plans.status | text | nullable=YES | default='pending'::text
TABLE: maintenance_plans.created_by | uuid | nullable=YES | default=none
TABLE: maintenance_plans.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: maintenance_plans.updated_at | timestamp with time zone | nullable=YES | default=now()
TABLE: maintenance_plans.removed_at | timestamp with time zone | nullable=YES | default=none
TABLE: maintenance_plans.removed_by | uuid | nullable=YES | default=none
TABLE: maintenance_plans.last_completed_at | timestamp with time zone | nullable=YES | default=none
TABLE: maintenance_plans.last_completed_by | uuid | nullable=YES | default=none
TABLE: maintenance_plans.row_version | bigint | nullable=NO | default=1
TABLE: manuals.id | uuid | nullable=NO | default=none
TABLE: manuals.organization_id | uuid | nullable=NO | default=none
TABLE: manuals.plant_id | uuid | nullable=YES | default=none
TABLE: manuals.asset_id | uuid | nullable=YES | default=none
TABLE: manuals.title | text | nullable=NO | default=none
TABLE: manuals.manufacturer | text | nullable=YES | default=none
TABLE: manuals.model | text | nullable=YES | default=none
TABLE: manuals.storage_path | text | nullable=NO | default=none
TABLE: manuals.mime_type | text | nullable=YES | default=none
TABLE: manuals.size_bytes | bigint | nullable=YES | default=none
TABLE: manuals.status | text | nullable=YES | default='uploaded'::text
TABLE: manuals.uploaded_by | uuid | nullable=YES | default=none
TABLE: manuals.created_at | timestamp with time zone | nullable=YES | default=now()
TABLE: material_requests.id | uuid | nullable=NO | default=gen_random_uuid()
TABLE: material_requests.organization_id | uuid | nullable=NO | default=none
TABLE: material_requests.plant_id | uuid | nullable=NO | default=none
TABLE: material_requests.spare_id | uuid | nullable=NO | default=none
